PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,Line0.started,Line0.stopped,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,Halo_01.started,Halo_01.stopped,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.time,Halo_02.started,Halo_02.stopped,mouse_17.x,mouse_17.y,mouse_17.leftButton,mouse_17.midButton,mouse_17.rightButton,mouse_17.time,Halo_03.started,Halo_03.stopped,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_18.time,Instructions2.started,Instructions2.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time,Rotation.started,Rotation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Line.started,Line.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Halo_1.started,Halo_1.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Halo_2.started,Halo_2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Halo_3.started,Halo_3.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Pract.thisRepN,Pract.thisTrialN,Pract.thisN,Pract.thisIndex,Pract.ran,v,l,s,q,c,Start.started,Start.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time,Mask.started,Mask.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Debrief.started,Debrief.stopped,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.time
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.482,5.966,-0.04,-0.015555556,1,0,0,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,7.89,[],[],[],[],[],[],7.891,8.24,0.021111111,0.003333333,1,0,0,0.341,8.24,8.906,0.047777778,0.102222222,1,0,0,0.66,8.907,9.274,0.047777778,0.101111111,1,0,0,0.362,9.274,9.54,0.047777778,0.101111111,1,0,0,0.26,0,0,0,0,1,99,0,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.543,11.425,[],[],[],[],[],[],11.425,11.741,0.046666667,0.101111111,1,0,0,0.309,11.741,11.892,0.046666667,0.101111111,1,0,0,0.147,11.892,12.007,0.046666667,0.101111111,1,0,0,0.11,12.008,12.207,0.046666667,0.101111111,1,0,0,0.193,0,1,1,1,1,3,0,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.209,14.393,[],[],[],[],[],[],14.394,14.658,-0.038888889,-0.006666667,1,0,0,0.259,14.659,14.893,-0.038888889,-0.006666667,1,0,0,0.229,14.894,15.126,-0.038888889,-0.006666667,1,0,0,0.222,15.126,15.326,-0.038888889,-0.006666667,1,0,0,0.195,0,2,2,2,1,99,0,5,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.327,15.926,-0.038888889,-0.011111111,1,0,0,0.598,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.939,17.827,[],[],[],[],[],[],21.062,21.51,-0.016666667,-0.033333333,1,0,0,0.443,21.51,21.71,-0.016666667,-0.033333333,1,0,0,0.194,21.711,21.944,-0.016666667,-0.033333333,1,0,0,0.229,21.945,22.161,-0.016666667,-0.033333333,1,0,0,0.212,,,,,,99,0,1,2,6,,,,,,,,,19.195,21.062,[],[],[],[],[],[],0,0,0,4,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.164,24.031,[-0.016666666666666666],[-0.03333333333333333],[1],[0],[0],[1.591000000000001],26.498,26.813,-0.016666667,-0.033333333,1,0,0,0.31,26.813,27.014,-0.016666667,-0.034444444,1,0,0,0.197,27.014,27.229,-0.016666667,-0.034444444,1,0,0,0.212,27.229,27.414,-0.016666667,-0.034444444,1,0,0,0.179,,,,,,99,1,6,3,6,,,,,,,,,24.714,26.496,[],[],[],[],[],[],0,1,1,5,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.416,29.297,[],[],[],[],[],[],32.064,32.38,0.006666667,0.022222222,1,0,0,0.311,32.38,32.58,0.006666667,0.022222222,1,0,0,0.196,32.581,32.78,0.006666667,0.022222222,1,0,0,0.194,32.78,32.964,0.006666667,0.022222222,1,0,0,0.18,,,,,,99,0,4,3,6,,,,,,,,,30.298,32.062,[],[],[],[],[],[],0,2,2,0,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.965,34.831,[],[],[],[],[],[],37.301,37.581,0.006666667,0.024444444,1,0,0,0.276,37.581,37.799,0.006666667,0.023333333,1,0,0,0.214,37.8,37.997,0.006666667,0.023333333,1,0,0,0.194,37.997,38.179,0.006666667,0.023333333,1,0,0,0.177,,,,,,3,0,2,3,6,,,,,,,,,35.615,37.301,[],[],[],[],[],[],0,3,3,1,1,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_15h59.47.896,circleBounceNew,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.182,40.098,[],[],[],[],[],[],43.793,44.597,-0.007777778,0.01,1,0,0,0.799,44.597,44.848,-0.007777778,0.01,1,0,0,0.247,44.848,45.097,-0.007777778,0.01,1,0,0,0.245,45.097,45.312,-0.007777778,0.01,1,0,0,0.211,,,,,,99,0,5,3,15,,,,,,,,,40.965,43.793,[],[],[],[],[],[],0,4,4,2,1,,,,,,,,,,,,,
