PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time
1E-04,0.6605,-0.133163588,-0.090541517,1,0,0,0.656,,2024-03-13_19h09.59.775,circleBounceNew,2023.2.3,MacIntel,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h09.59.775,circleBounceNew,2023.2.3,MacIntel,60.97560976,0.6606,2.2734,-0.133163588,-0.090541517,1,0,0,1.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h09.59.775,circleBounceNew,2023.2.3,MacIntel,60.97560976,,,,,,,,,2.2736,4.6749,-0.125544027,-0.090532633,1,0,0,2.3981,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h09.59.775,circleBounceNew,2023.2.3,MacIntel,60.97560976,,,,,,,,,,,,,,,,,4.675,7.9444,y,3.2394,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h09.59.775,circleBounceNew,2023.2.3,MacIntel,60.97560976,,,,,,,,,,,,,,,,,,,,,,7.9447,9.357,-0.128473511,-0.08862915,1,0,0,1.4095,,,,,,,,
,,,,,,,,,2024-03-13_19h09.59.775,circleBounceNew,2023.2.3,MacIntel,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3573,10.8561,[],[],[],[],[],[]
